init_strategy,profile,seed,generation,best_duration_s
baseline,standard,20250841,170,10.24149169921876
baseline,standard,20250841,171,10.246057128906266
baseline,standard,20250841,172,10.246057128906266
baseline,standard,20250841,173,10.25012207031251
baseline,standard,20250841,174,10.25012207031251
baseline,standard,20250841,175,10.25012207031251
baseline,standard,20250841,176,10.25012207031251
baseline,standard,20250841,177,10.25012207031251
baseline,standard,20250841,178,10.25012207031251
baseline,standard,20250841,179,10.25012207031251
baseline,standard,20250841,180,10.250683593750022
baseline,standard,20250841,181,10.250683593750022
baseline,standard,20250841,182,10.250927734375015
baseline,standard,20250841,183,10.250927734375015
baseline,standard,20250841,184,10.25419311523437
baseline,standard,20250841,185,10.258496093750027
baseline,standard,20250841,186,10.266418457031264
baseline,standard,20250841,187,10.266418457031264
baseline,standard,20250841,188,10.276751708984392
baseline,standard,20250841,189,10.296942138671891
baseline,standard,20250841,190,10.302935791015642
baseline,standard,20250841,191,10.302935791015642
baseline,standard,20250841,192,10.311737060546873
baseline,standard,20250841,193,10.311737060546873
baseline,standard,20250841,194,10.321594238281268
baseline,standard,20250841,195,10.345001220703136
baseline,standard,20250841,196,10.345001220703136
baseline,standard,20250841,197,10.345001220703136
baseline,standard,20250841,198,10.345001220703136
baseline,standard,20250841,199,10.345001220703136
baseline,standard,20250841,200,10.345001220703136
baseline,standard,20250841,201,10.345001220703136
baseline,standard,20250841,202,10.345001220703136
baseline,standard,20250841,203,10.370635986328121
baseline,standard,20250841,204,10.381542968750002
baseline,standard,20250841,205,10.386651611328151
baseline,standard,20250841,206,10.386651611328151
baseline,standard,20250841,207,10.386651611328151
baseline,standard,20250841,208,10.386651611328151
baseline,standard,20250841,209,10.386651611328151
baseline,standard,20250841,210,10.386651611328151
baseline,standard,20250841,211,10.38764038085937
baseline,standard,20250841,212,10.397491455078132
baseline,standard,20250841,213,10.401806640625017
baseline,standard,20250841,214,10.407080078125023
baseline,standard,20250841,215,10.43836669921876
baseline,standard,20250841,216,10.45161132812502
baseline,standard,20250841,217,10.45161132812502
baseline,standard,20250841,218,10.453405761718763
baseline,standard,20250841,219,10.465890502929696
baseline,standard,20250841,220,10.465890502929696
baseline,standard,20250841,221,10.467346191406268
baseline,standard,20250841,222,10.46816406250002
baseline,standard,20250841,223,10.474493408203148
baseline,standard,20250841,224,10.481732177734383
baseline,standard,20250841,225,10.481732177734383
baseline,standard,20250841,226,10.481732177734383
baseline,standard,20250841,227,10.481732177734383
baseline,standard,20250841,228,10.499346923828135
baseline,standard,20250841,229,10.499346923828135
baseline,standard,20250841,230,10.509619140625007
baseline,standard,20250841,231,10.509619140625007
baseline,standard,20250841,232,10.509619140625007
baseline,standard,20250841,233,10.509619140625007
baseline,standard,20250841,234,10.509619140625007
baseline,standard,20250841,235,10.5172790527344
baseline,standard,20250841,236,10.5172790527344
baseline,standard,20250841,237,10.5172790527344
baseline,standard,20250841,238,10.5172790527344
baseline,standard,20250841,239,10.518176269531265
baseline,standard,20250841,240,10.518176269531265
baseline,standard,20250841,241,10.52969970703127
baseline,standard,20250841,242,10.54019775390626
baseline,standard,20250841,243,10.543939208984398
baseline,standard,20250841,244,10.543939208984398
baseline,standard,20250841,245,10.543939208984398
baseline,standard,20250841,246,10.543939208984398
baseline,standard,20250841,247,10.545556640625014
baseline,standard,20250841,248,10.545556640625014
baseline,standard,20250841,249,10.545556640625014
baseline,standard,20250841,250,10.548718261718767
baseline,standard,20250841,251,10.548718261718767
baseline,standard,20250841,252,10.548718261718767
baseline,standard,20250841,253,10.548809814453133
baseline,standard,20250841,254,10.548809814453133
baseline,standard,20250841,255,10.550762939453147
baseline,standard,20250841,256,10.553179931640637
baseline,standard,20250841,257,10.554064941406262
baseline,standard,20250841,258,10.554064941406262
baseline,standard,20250841,259,10.554064941406262
baseline,standard,20250841,260,10.55480957031251
baseline,standard,20250841,261,10.564624023437535
baseline,standard,20250841,262,10.56644897460938
baseline,standard,20250841,263,10.56644897460938
baseline,standard,20250841,264,10.56644897460938
baseline,standard,20250841,265,10.567919921875014
baseline,standard,20250841,266,10.570806884765641
baseline,standard,20250841,267,10.570806884765641
baseline,standard,20250841,268,10.570806884765641
baseline,standard,20250841,269,10.57155151367187
baseline,standard,20250841,270,10.57155151367187
baseline,standard,20250841,271,10.572167968750028
baseline,standard,20250841,272,10.572167968750028
baseline,standard,20250841,273,10.575354003906265
baseline,standard,20250841,274,10.57779541015627
baseline,standard,20250841,275,10.57779541015627
baseline,standard,20250841,276,10.57779541015627
baseline,standard,20250841,277,10.57779541015627
baseline,standard,20250841,278,10.57960815429687
baseline,standard,20250841,279,10.57960815429687
baseline,standard,20250841,280,10.57960815429687
baseline,standard,20250841,281,10.582049560546892
baseline,standard,20250841,282,10.582049560546892
baseline,standard,20250841,283,10.583026123046903
baseline,standard,20250841,284,10.583026123046903
baseline,standard,20250841,285,10.583026123046903
baseline,standard,20250841,286,10.583026123046903
baseline,standard,20250841,287,10.583026123046903
baseline,standard,20250841,288,10.583026123046903
baseline,standard,20250841,289,10.583459472656264
baseline,standard,20250841,290,10.584378051757831
baseline,standard,20250841,291,10.584378051757831
baseline,standard,20250841,292,10.584378051757831
baseline,standard,20250841,293,10.584378051757831
baseline,standard,20250841,294,10.584378051757831
baseline,standard,20250841,295,10.584378051757831
baseline,standard,20250841,296,10.584378051757831
baseline,standard,20250841,297,10.584378051757831
baseline,standard,20250841,298,10.584378051757831
baseline,standard,20250841,299,10.584378051757831
baseline,standard,20250841,300,10.584378051757831
baseline,standard,20250841,301,10.584378051757831
baseline,standard,20250841,302,10.584378051757831
baseline,standard,20250841,303,10.584378051757831
baseline,standard,20250841,304,10.584378051757831
baseline,standard,20250841,305,10.584405517578126
baseline,standard,20250841,306,10.584500122070342
baseline,standard,20250841,307,10.584500122070342
baseline,standard,20250841,308,10.584500122070342
baseline,standard,20250841,309,10.584500122070342
baseline,standard,20250841,310,10.584500122070342
baseline,standard,20250841,311,10.584500122070342
baseline,standard,20250841,312,10.584500122070342
baseline,standard,20250841,313,10.58555297851566
baseline,standard,20250841,314,10.586169433593767
baseline,standard,20250841,315,10.586169433593767
baseline,standard,20250841,316,10.58638916015626
baseline,standard,20250841,317,10.58638916015626
baseline,standard,20250841,318,10.58638916015626
baseline,standard,20250841,319,10.58638916015626
baseline,standard,20250841,320,10.58638916015626
baseline,standard,20250841,321,10.58638916015626
baseline,standard,20250841,322,10.58638916015626
baseline,standard,20250841,323,10.58638916015626
baseline,standard,20250841,324,10.587286376953145
baseline,standard,20250841,325,10.587994384765624
baseline,standard,20250841,326,10.587994384765624
baseline,standard,20250841,327,10.588806152343757
baseline,standard,20250841,328,10.589715576171873
baseline,standard,20250841,329,10.589776611328144
baseline,standard,20250841,330,10.590179443359386
baseline,standard,20250841,331,10.591961669921888
baseline,standard,20250841,332,10.593511962890629
baseline,standard,20250841,333,10.594024658203146
baseline,standard,20250841,334,10.594024658203146
baseline,standard,20250841,335,10.59457397460939
baseline,standard,20250841,336,10.595043945312524
baseline,standard,20250841,337,10.595117187500009
baseline,standard,20250841,338,10.595458984375018
baseline,standard,20250841,339,10.596121215820325
baseline,standard,20250841,340,10.596121215820325
baseline,standard,20250841,341,10.597198486328143
baseline,standard,20250841,342,10.60078125000002
baseline,standard,20250841,343,10.6038024902344
baseline,standard,20250841,344,10.606427001953131
baseline,standard,20250841,345,10.60968017578126
baseline,standard,20250841,346,10.615734863281268
baseline,standard,20250841,347,10.616134643554709
baseline,standard,20250841,348,10.617694091796881
baseline,standard,20250841,349,10.617694091796881
