profile,seed,stage,generation,best_score
standard,20250952,point,79,48.764132257697035
standard,20250952,point,80,48.764132257697035
standard,20250952,point,81,48.764132257697035
standard,20250952,point,82,48.764132257697035
standard,20250952,point,83,48.764132257697035
standard,20250952,point,84,48.764132257697035
standard,20250952,point,85,48.77974427701434
standard,20250952,point,86,48.77974427701434
standard,20250952,point,87,48.77974427701434
standard,20250952,point,88,48.77974427701434
standard,20250952,point,89,48.77974427701434
standard,20250952,point,90,48.79019469215265
standard,20250952,point,91,48.79304711891062
standard,20250952,point,92,48.79304711891062
standard,20250952,point,93,48.80466194361962
standard,20250952,point,94,48.80466194361962
standard,20250952,point,95,48.80466194361962
standard,20250952,point,96,48.80466194361962
standard,20250952,point,97,48.805193992847435
standard,20250952,point,98,48.805193992847435
standard,20250952,point,99,48.81379564717262
standard,20250952,point,100,48.8156085818092
standard,20250952,point,101,48.8156085818092
standard,20250952,point,102,48.8156085818092
standard,20250952,point,103,48.8156085818092
standard,20250952,point,104,48.8156085818092
standard,20250952,point,105,48.8156085818092
standard,20250952,point,106,48.8156085818092
standard,20250952,point,107,48.8156085818092
standard,20250952,point,108,48.8156085818092
standard,20250952,point,109,48.821851573030656
standard,20250952,point,110,48.821851573030656
standard,20250952,point,111,48.821851573030656
standard,20250952,point,112,48.821851573030656
standard,20250952,point,113,48.821851573030656
standard,20250952,point,114,48.821851573030656
standard,20250952,point,115,48.821851573030656
standard,20250952,point,116,48.82677358391041
standard,20250952,point,117,48.82677358391041
standard,20250952,point,118,48.82677358391041
standard,20250952,point,119,48.82677358391041
standard,20250952,point,120,48.82677358391041
standard,20250952,point,121,48.82677358391041
standard,20250952,point,122,48.82677358391041
standard,20250952,point,123,48.82724776480371
standard,20250952,point,124,48.82724776480371
standard,20250952,point,125,48.830713393370814
standard,20250952,point,126,48.830713393370814
standard,20250952,point,127,48.830713393370814
standard,20250952,point,128,48.830713393370814
standard,20250952,point,129,48.830713393370814
standard,20250952,point,130,48.830713393370814
standard,20250952,point,131,48.830713393370814
standard,20250952,point,132,48.830713393370814
standard,20250952,point,133,48.830713393370814
standard,20250952,point,134,48.830713393370814
standard,20250952,point,135,48.830713393370814
standard,20250952,point,136,48.830713393370814
standard,20250952,point,137,48.830713393370814
standard,20250952,point,138,48.830713393370814
standard,20250952,point,139,48.830713393370814
standard,20250952,point,140,48.830713393370814
standard,20250952,surface,1,27.603213560277133
standard,20250952,surface,2,27.697574452955177
standard,20250952,surface,3,27.77004216931966
standard,20250952,surface,4,27.80457529384951
standard,20250952,surface,5,27.82409700770097
standard,20250952,surface,6,27.82409700770097
standard,20250952,surface,7,27.85246662600253
standard,20250952,surface,8,27.856716893554534
standard,20250952,surface,9,27.856716893554534
standard,20250952,surface,10,27.856716893554534
standard,20250952,surface,11,27.856716893554534
standard,20250952,surface,12,27.866467241848948
standard,20250952,surface,13,27.878573023576237
standard,20250952,surface,14,27.878573023576237
standard,20250952,surface,15,27.878573023576237
standard,20250952,surface,16,27.878573023576237
standard,20250952,surface,17,27.878573023576237
standard,20250952,surface,18,27.878573023576237
standard,20250952,surface,19,27.878573023576237
standard,20250952,surface,20,27.878573023576237
standard,20250952,surface,21,27.878573023576237
standard,20250952,surface,22,27.878573023576237
standard,20250952,surface,23,27.878573023576237
standard,20250952,surface,24,27.878573023576237
standard,20250952,surface,25,27.878573023576237
standard,20250952,surface,26,27.884557615715543
standard,20250952,surface,27,27.884557615715543
standard,20250952,surface,28,27.884557615715543
standard,20250952,surface,29,27.884557615715543
standard,20250952,surface,30,27.884557615715543
standard,20250952,surface,31,27.884557615715543
standard,20250952,surface,32,27.884557615715543
standard,20250952,surface,33,27.884557615715543
standard,20250952,surface,34,27.884557615715543
standard,20250952,surface,35,27.889948859820382
standard,20250952,surface,36,27.89281008536641
standard,20250952,surface,37,27.89281008536641
standard,20250952,surface,38,27.89281008536641
standard,20250952,surface,39,27.89281008536641
standard,20250952,surface,40,27.89281008536641
standard,20250952,surface,41,27.89281008536641
standard,20250952,surface,42,27.897387206357703
standard,20250952,surface,43,27.897387206357703
standard,20250952,surface,44,27.90057043395474
standard,20250952,surface,45,27.90057043395474
standard,20250952,surface,46,27.90057043395474
standard,20250952,surface,47,27.90057043395474
standard,20250952,surface,48,27.90750005854952
standard,20250952,surface,49,27.90750005854952
standard,20250952,surface,50,27.90750005854952
standard,20250952,surface,51,27.90750005854952
standard,20250952,surface,52,27.90750005854952
standard,20250952,surface,53,27.90750005854952
standard,20250952,surface,54,27.90750005854952
standard,20250952,surface,55,27.90750005854952
standard,20250952,surface,56,27.90750005854952
standard,20250952,surface,57,27.90750005854952
standard,20250952,surface,58,27.90750005854952
standard,20250952,surface,59,27.90750005854952
standard,20250952,surface,60,27.90750005854952
standard,20250952,surface,61,27.90750005854952
standard,20250952,surface,62,27.90750005854952
standard,20250952,surface,63,27.90750005854952
standard,20250952,surface,64,27.90750005854952
standard,20250952,surface,65,27.909911824270857
standard,20250952,surface,66,27.913508009525312
standard,20250952,surface,67,27.913508009525312
standard,20250952,surface,68,27.914757586365276
standard,20250952,surface,69,27.914757586365276
standard,20250952,surface,70,27.91781321160927
standard,20250952,surface,71,27.91781321160927
standard,20250952,surface,72,27.91781321160927
standard,20250952,surface,73,27.91781321160927
standard,20250952,surface,74,27.91781321160927
standard,20250952,surface,75,27.91781321160927
standard,20250952,surface,76,27.91781321160927
standard,20250952,surface,77,27.91781321160927
standard,20250952,surface,78,27.91781321160927
standard,20250952,surface,79,27.91781321160927
standard,20250952,surface,80,27.91781321160927
standard,20250952,surface,81,27.91781321160927
standard,20250952,surface,82,27.91781321160927
standard,20250952,surface,83,27.91781321160927
standard,20250952,surface,84,27.91781321160927
standard,20250952,surface,85,27.91781321160927
standard,20250952,surface,86,27.919210491726812
standard,20250952,surface,87,27.92284343945512
standard,20250952,surface,88,27.92284343945512
standard,20250952,surface,89,27.92284343945512
standard,20250952,surface,90,27.92284343945512
standard,20250953,point,1,39.94904650820789
standard,20250953,point,2,39.94904650820789
standard,20250953,point,3,39.94904650820789
standard,20250953,point,4,39.96111065817232
standard,20250953,point,5,40.012510829257074
standard,20250953,point,6,40.051125706367436
standard,20250953,point,7,40.061254430369175
standard,20250953,point,8,42.62287622835079
standard,20250953,point,9,43.37348711724503
standard,20250953,point,10,43.53425098415858
standard,20250953,point,11,43.81839357038884
standard,20250953,point,12,43.92101028052017
standard,20250953,point,13,44.25310580076554
standard,20250953,point,14,44.42610543504417
standard,20250953,point,15,44.514885662917195
standard,20250953,point,16,44.539543545812606
standard,20250953,point,17,44.57431574797199
standard,20250953,point,18,44.64118478050779
standard,20250953,point,19,44.64118478050779
standard,20250953,point,20,44.64118478050779
standard,20250953,point,21,44.64118478050779
standard,20250953,point,22,44.65951163365677
standard,20250953,point,23,44.65951163365677
standard,20250953,point,24,44.7451252848315
standard,20250953,point,25,44.75336643695299
standard,20250953,point,26,44.75336643695299
standard,20250953,point,27,44.75452994998314
standard,20250953,point,28,44.75452994998314
standard,20250953,point,29,44.792012725324454
standard,20250953,point,30,44.84270822206804
standard,20250953,point,31,44.84270822206804
standard,20250953,point,32,44.84270822206804
standard,20250953,point,33,44.8629470668168
standard,20250953,point,34,44.86516317564138
standard,20250953,point,35,44.87658492925258
standard,20250953,point,36,44.87658492925258
standard,20250953,point,37,44.8768170101277
standard,20250953,point,38,44.8768170101277
standard,20250953,point,39,44.876976589005594
standard,20250953,point,40,44.876976589005594
standard,20250953,point,41,44.887889307864604
standard,20250953,point,42,44.887889307864604
standard,20250953,point,43,44.887889307864604
standard,20250953,point,44,44.894469529888475
standard,20250953,point,45,44.894469529888475
standard,20250953,point,46,44.900487591995926
standard,20250953,point,47,44.900487591995926
standard,20250953,point,48,44.900487591995926
standard,20250953,point,49,44.901143147052245
standard,20250953,point,50,44.90489880366867
standard,20250953,point,51,44.90489880366867
standard,20250953,point,52,46.88616709120692
standard,20250953,point,53,46.88616709120692
standard,20250953,point,54,46.88616709120692
standard,20250953,point,55,48.55529946403393
standard,20250953,point,56,48.55529946403393
standard,20250953,point,57,48.55529946403393
standard,20250953,point,58,48.55529946403393
standard,20250953,point,59,48.55529946403393
standard,20250953,point,60,48.55529946403393
standard,20250953,point,61,48.55529946403393
standard,20250953,point,62,48.55529946403393
standard,20250953,point,63,48.55529946403393
standard,20250953,point,64,48.55529946403393
standard,20250953,point,65,48.55529946403393
standard,20250953,point,66,48.55529946403393
standard,20250953,point,67,48.55529946403393
standard,20250953,point,68,48.55529946403393
standard,20250953,point,69,48.55529946403393
standard,20250953,point,70,48.55529946403393
standard,20250953,point,71,48.55529946403393
standard,20250953,point,72,48.55529946403393
standard,20250953,point,73,48.55529946403393
standard,20250953,point,74,48.848956676538556
standard,20250953,point,75,48.848956676538556
standard,20250953,point,76,48.848956676538556
standard,20250953,point,77,48.848956676538556
standard,20250953,point,78,48.848956676538556
standard,20250953,point,79,48.848956676538556
standard,20250953,point,80,48.848956676538556
standard,20250953,point,81,48.848956676538556
standard,20250953,point,82,48.848956676538556
standard,20250953,point,83,48.848956676538556
standard,20250953,point,84,48.848956676538556
standard,20250953,point,85,48.848956676538556
standard,20250953,point,86,48.848956676538556
standard,20250953,point,87,48.848956676538556
standard,20250953,point,88,48.848956676538556
standard,20250953,point,89,48.848956676538556
standard,20250953,point,90,48.848956676538556
standard,20250953,point,91,48.848956676538556
standard,20250953,point,92,48.848956676538556
standard,20250953,point,93,48.848956676538556
standard,20250953,point,94,48.848956676538556
standard,20250953,point,95,48.848956676538556
standard,20250953,point,96,48.9518762666313
standard,20250953,point,97,48.97446139046783
standard,20250953,point,98,48.99252040517427
standard,20250953,point,99,48.99252040517427
standard,20250953,point,100,49.00619261512235
standard,20250953,point,101,49.01513009482017
standard,20250953,point,102,49.01513009482017
standard,20250953,point,103,49.02419337503905
standard,20250953,point,104,49.02419337503905
standard,20250953,point,105,49.02419337503905
standard,20250953,point,106,49.02419337503905
standard,20250953,point,107,49.02419337503905
standard,20250953,point,108,49.02419337503905
standard,20250953,point,109,49.02419337503905
standard,20250953,point,110,49.02419337503905
standard,20250953,point,111,49.02419337503905
standard,20250953,point,112,49.02419337503905
standard,20250953,point,113,49.02638977161685
standard,20250953,point,114,49.03312109160677
standard,20250953,point,115,49.039291027879344
standard,20250953,point,116,49.0461670893402
standard,20250953,point,117,49.0486588229672
