profile,region_index,seed,generation,best_duration_s
standard,2,20250901,106,4.5879726042
standard,3,20250902,1,4.5768910283
standard,3,20250902,2,4.5794930409
standard,3,20250902,3,4.5794930409
standard,3,20250902,4,4.5794930409
standard,3,20250902,5,4.5794930409
standard,3,20250902,6,4.5794930409
standard,3,20250902,7,4.5794930409
standard,3,20250902,8,4.5794930409
standard,3,20250902,9,4.5794930409
standard,3,20250902,10,4.5794930409
standard,3,20250902,11,4.5794930409
standard,3,20250902,12,4.5794930409
standard,3,20250902,13,4.5794930409
standard,3,20250902,14,4.5794930409
standard,3,20250902,15,4.5797074255
standard,3,20250902,16,4.5817794891
standard,3,20250902,17,4.5817794891
standard,3,20250902,18,4.5817794891
standard,3,20250902,19,4.5817794891
standard,3,20250902,20,4.5817794891
standard,3,20250902,21,4.5822769663
standard,3,20250902,22,4.5853792042
standard,3,20250902,23,4.5856049861
standard,3,20250902,24,4.5856049861
standard,3,20250902,25,4.5856049861
standard,3,20250902,26,4.5856049861
standard,3,20250902,27,4.5856049861
standard,3,20250902,28,4.5856049861
standard,3,20250902,29,4.5863544905
standard,3,20250902,30,4.5863544905
standard,3,20250902,31,4.5863544905
standard,3,20250902,32,4.5864073213
standard,3,20250902,33,4.5864073213
standard,3,20250902,34,4.5871918517
standard,3,20250902,35,4.5871918517
standard,3,20250902,36,4.5871918517
standard,3,20250902,37,4.5872101421
standard,3,20250902,38,4.5872101421
standard,3,20250902,39,4.5872101421
standard,3,20250902,40,4.5874918792
standard,3,20250902,41,4.5874918792
standard,3,20250902,42,4.5874918792
standard,3,20250902,43,4.5876011094
standard,3,20250902,44,4.5876011094
standard,3,20250902,45,4.5876011094
standard,3,20250902,46,4.5877153724
standard,3,20250902,47,4.5877153724
standard,3,20250902,48,4.5877153724
standard,3,20250902,49,4.5877153724
standard,3,20250902,50,4.5877153724
standard,3,20250902,51,4.5877153724
standard,3,20250902,52,4.5877153724
standard,3,20250902,53,4.5879678674
standard,3,20250902,54,4.5879678674
standard,3,20250902,55,4.5879678674
standard,3,20250902,56,4.5879678674
standard,3,20250902,57,4.5879678674
standard,3,20250902,58,4.5879678674
standard,3,20250902,59,4.5879678674
standard,3,20250902,60,4.5879678674
standard,3,20250902,61,4.5879678674
standard,3,20250902,62,4.5879678674
standard,3,20250902,63,4.5879678674
standard,3,20250902,64,4.5879827376
standard,3,20250902,65,4.5879827376
standard,3,20250902,66,4.5879827376
standard,3,20250902,67,4.5879827376
standard,3,20250902,68,4.5879827376
standard,3,20250902,69,4.5879827376
standard,3,20250902,70,4.5879827376
standard,3,20250902,71,4.5879947159
standard,3,20250902,72,4.5879947159
standard,3,20250902,73,4.5879995451
standard,3,20250902,74,4.5879995451
standard,3,20250902,75,4.5880087573
standard,3,20250902,76,4.5880087573
standard,3,20250902,77,4.5880087573
standard,3,20250902,78,4.5880370630
standard,3,20250902,79,4.5880370630
standard,3,20250902,80,4.5880370630
standard,3,20250902,81,4.5880370630
standard,3,20250902,82,4.5880370630
standard,3,20250902,83,4.5880370630
standard,3,20250902,84,4.5880370630
standard,3,20250902,85,4.5880400072
standard,3,20250902,86,4.5880555971
standard,3,20250902,87,4.5880555971
standard,3,20250902,88,4.5880555971
standard,3,20250902,89,4.5880555971
standard,3,20250902,90,4.5880555971
standard,3,20250902,91,4.5880555971
standard,3,20250902,92,4.5880555971
standard,3,20250902,93,4.5880555971
standard,3,20250902,94,4.5880555971
standard,3,20250902,95,4.5880586344
standard,3,20250902,96,4.5880586344
standard,3,20250902,97,4.5880586344
standard,3,20250902,98,4.5880586344
standard,3,20250902,99,4.5880586344
standard,3,20250902,100,4.5880586344
standard,3,20250902,101,4.5880609028
standard,3,20250902,102,4.5880609028
standard,4,20250903,1,4.4090113224
standard,4,20250903,2,4.4090113224
standard,4,20250903,3,4.4090113224
standard,4,20250903,4,4.4090113224
standard,4,20250903,5,4.4090113224
standard,4,20250903,6,4.4090113224
standard,4,20250903,7,4.4090113224
standard,4,20250903,8,4.4090113224
standard,4,20250903,9,4.4090113224
standard,4,20250903,10,4.4090113224
standard,4,20250903,11,4.4090113224
standard,4,20250903,12,4.4999410070
standard,4,20250903,13,4.4999410070
standard,4,20250903,14,4.5544760141
standard,4,20250903,15,4.5544760141
standard,4,20250903,16,4.5544760141
standard,4,20250903,17,4.5544760141
standard,4,20250903,18,4.5544760141
standard,4,20250903,19,4.5544760141
standard,4,20250903,20,4.5707166096
standard,4,20250903,21,4.5707166096
standard,4,20250903,22,4.5707166096
standard,4,20250903,23,4.5707166096
standard,4,20250903,24,4.5751812552
standard,4,20250903,25,4.5767269624
standard,4,20250903,26,4.5767269624
standard,4,20250903,27,4.5767269624
standard,4,20250903,28,4.5767269624
standard,4,20250903,29,4.5773310164
standard,4,20250903,30,4.5797295083
standard,4,20250903,31,4.5829318929
standard,4,20250903,32,4.5861828825
standard,4,20250903,33,4.5861828825
standard,4,20250903,34,4.5861828825
standard,4,20250903,35,4.5861828825
standard,4,20250903,36,4.5861828825
standard,4,20250903,37,4.5861828825
standard,4,20250903,38,4.5861828825
standard,4,20250903,39,4.5862089734
standard,4,20250903,40,4.5862089734
standard,4,20250903,41,4.5862089734
standard,4,20250903,42,4.5862089734
standard,4,20250903,43,4.5868614997
