state,time_s,mode,max_distance_m,margin_m,closest_projection,cloud_x_m,cloud_y_m,cloud_z_m,missile_x_m,missile_y_m,missile_z_m,worst_target_x_m,worst_target_y_m,worst_target_z_m,closest_x_m,closest_y_m,closest_z_m
margin_curve,1.4836215416,surface,7.4450992736,2.5549007264,0.0839355818,17915.0812113910,11.9462557783,1796.6257941072,19557.1224169734,0.0000000000,1955.7122416973,0.7316992429,206.9616532676,0.0000000000,17915.6453838681,17.3714467805,1791.5583968266
margin_curve,1.5336215416,surface,7.2374560219,2.7625439781,0.0832367375,17915.0812113910,11.9462557783,1796.4757941072,19542.1968591202,0.0000000000,1954.2196859120,0.7316992429,206.9616532676,0.0000000000,17915.6290535648,17.2268128022,1791.5568149307
margin_curve,1.5836215416,surface,7.0296651025,2.9703348975,0.0825368250,17915.0812113910,11.9462557783,1796.3257941072,19527.2713012671,0.0000000000,1952.7271301267,0.7316992429,206.9616532676,0.0000000000,17915.6127186810,17.0819577638,1791.5552326549
margin_curve,1.6336215416,surface,6.8217267406,3.1782732594,0.0818358420,17915.0812113910,11.9462557783,1796.1757941072,19512.3457434139,0.0000000000,1951.2345743414,0.7316992429,206.9616532676,0.0000000000,17915.5963792008,16.9368811582,1791.5536499977
margin_curve,1.6836215416,surface,6.6136412454,3.3863587546,0.0811337860,17915.0812113910,11.9462557783,1796.0257941072,19497.4201855608,0.0000000000,1949.7420185561,0.7316992429,206.9616532676,0.0000000000,17915.5800351083,16.7915824768,1791.5520669579
margin_curve,1.7336215416,surface,6.4054094639,3.5945905361,0.0804305301,17915.0812113910,11.9462557783,1795.8757941072,19482.4946277076,0.0000000000,1948.2494627708,0.7013164313,206.9647796278,0.0000000000,17915.5636645667,16.6462869355,1791.5507257314
margin_curve,1.7836215416,surface,6.1970315800,3.8029684200,0.0797263216,17915.0812113910,11.9462557783,1795.7257941072,19467.5690698545,0.0000000000,1946.7569069854,0.7013164313,206.9647796278,0.0000000000,17915.5473113965,16.5005405741,1791.5491398017
margin_curve,1.8336215416,surface,5.9885081712,4.0114918288,0.0790210326,17915.0812113910,11.9462557783,1795.5757941072,19452.6435120013,0.0000000000,1945.2643512001,0.7013164313,206.9647796278,0.0000000000,17915.5309535660,16.3545705987,1791.5475534817
margin_curve,1.8836215416,surface,5.7798400584,4.2201599416,0.0783146607,17915.0812113910,11.9462557783,1795.4257941072,19437.7179541482,0.0000000000,1943.7717954148,0.7013164313,206.9647796278,0.0000000000,17915.5145910593,16.2083764943,1791.5459667701
margin_curve,1.9336215416,surface,5.5710282543,4.4289717457,0.0776072034,17915.0812113910,11.9462557783,1795.2757941072,19422.7923962950,0.0000000000,1942.2792396295,0.7013164313,206.9647796278,0.0000000000,17915.4982238600,16.0619577444,1791.5443796653
margin_curve,1.9836215416,surface,5.3620740012,4.6379259988,0.0768986581,17915.0812113910,11.9462557783,1795.1257941072,19407.8668384419,0.0000000000,1940.7866838442,0.7013164313,206.9647796278,0.0000000000,17915.4818519519,15.9153138308,1791.5427921659
margin_curve,2.0336215416,surface,5.1529788183,4.8470211817,0.0761890224,17915.0812113910,11.9462557783,1794.9757941072,19392.9412805887,0.0000000000,1939.2941280589,0.7013164313,206.9647796278,0.0000000000,17915.4654753186,15.7684442338,1791.5412042705
margin_curve,2.0836215416,surface,4.9437445611,5.0562554389,0.0754782937,17915.0812113910,11.9462557783,1794.8257941072,19378.0157227356,0.0000000000,1937.8015722736,0.7013164313,206.9647796278,0.0000000000,17915.4490939436,15.6213484321,1791.5396159776
margin_curve,2.1336215416,surface,4.7343734971,5.2656265029,0.0747664696,17915.0812113910,11.9462557783,1794.6757941072,19363.0901648824,0.0000000000,1936.3090164882,0.7013164313,206.9647796278,0.0000000000,17915.4327078106,15.4740259027,1791.5380272857
